# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9381224000e+03    2.9652179622e-11
6.9381570218e+03    2.9720696050e-11
6.9381916435e+03    2.9789450181e-11
6.9382262653e+03    2.9858443115e-11
6.9382608870e+03    2.9927675961e-11
6.9382955088e+03    2.9997149830e-11
6.9383301305e+03    3.0066865844e-11
6.9383647523e+03    3.0136825128e-11
6.9383993740e+03    3.0207028815e-11
6.9384339958e+03    3.0277478045e-11
6.9384686175e+03    3.0348173964e-11
6.9385032392e+03    3.0419117725e-11
6.9385378610e+03    3.0490310487e-11
6.9385724827e+03    3.0561753417e-11
6.9386071045e+03    3.0633447688e-11
6.9386417262e+03    3.0705394480e-11
6.9386763480e+03    3.0777594980e-11
6.9387109698e+03    3.0850050382e-11
6.9387455915e+03    3.0922761888e-11
6.9387802133e+03    3.0995730705e-11
6.9388148350e+03    3.1068958049e-11
6.9388494568e+03    3.1142445142e-11
6.9388840785e+03    3.1216193214e-11
6.9389187003e+03    3.1290203501e-11
6.9389533220e+03    3.1364477248e-11
6.9389879438e+03    3.1439015708e-11
6.9390225655e+03    3.1513820138e-11
6.9390571873e+03    3.1588891805e-11
6.9390918090e+03    3.1664231984e-11
6.9391264308e+03    3.1739841957e-11
6.9391610525e+03    3.1815723012e-11
6.9391956743e+03    3.1891876448e-11
6.9392302960e+03    3.1968303568e-11
6.9392649177e+03    3.2045005686e-11
6.9392995395e+03    3.2121984122e-11
6.9393341612e+03    3.2199240205e-11
6.9393687830e+03    7.1232531419e-11
6.9394034047e+03    7.1400398833e-11
6.9394380265e+03    7.1568860476e-11
6.9394726483e+03    7.1737919157e-11
6.9395072700e+03    7.1907577701e-11
6.9395418918e+03    7.2077838950e-11
6.9395765135e+03    7.2248705763e-11
6.9396111353e+03    1.1699318166e-10
6.9396457570e+03    1.7713050993e-10
6.9396803788e+03    1.7754509131e-10
6.9397150005e+03    1.7796113014e-10
6.9397496223e+03    1.7837863328e-10
6.9397842440e+03    2.5177606862e-10
6.9398188658e+03    2.5236517131e-10
6.9398534875e+03    2.5295634423e-10
6.9398881093e+03    2.5354959710e-10
6.9399227310e+03    2.5414493968e-10
6.9399573528e+03    2.5474238182e-10
6.9399919745e+03    2.5534193338e-10
6.9400265962e+03    2.5594360432e-10
6.9400612180e+03    2.5654740464e-10
6.9400958397e+03    2.5715334440e-10
6.9401304615e+03    2.5776143372e-10
6.9401650832e+03    2.5837168277e-10
6.9401997050e+03    2.5898410181e-10
6.9402343268e+03    2.5959870114e-10
6.9402689485e+03    2.6021549110e-10
6.9403035703e+03    2.6083448215e-10
6.9403381920e+03    2.6145568474e-10
6.9403728138e+03    2.6207910945e-10
6.9404074355e+03    2.6270476688e-10
6.9404420573e+03    2.6333266770e-10
6.9404766790e+03    2.6396282266e-10
6.9405113008e+03    2.6459524255e-10
6.9405459225e+03    2.6522993826e-10
6.9405805443e+03    2.6586692071e-10
6.9406151660e+03    2.6650620090e-10
6.9406497878e+03    2.6714778990e-10
6.9406844095e+03    2.6779169885e-10
6.9407190313e+03    2.6843793893e-10
6.9407536530e+03    2.6908652143e-10
6.9407882747e+03    2.6973745767e-10
6.9408228965e+03    2.7039075906e-10
6.9408575182e+03    2.7104643707e-10
6.9408921400e+03    2.7170450325e-10
6.9409267617e+03    2.7236496922e-10
6.9409613835e+03    2.7302784665e-10
6.9409960053e+03    2.7369314730e-10
6.9410306270e+03    2.7436088299e-10
6.9410652488e+03    2.7503106564e-10
6.9410998705e+03    2.7570370721e-10
6.9411344923e+03    2.7637881974e-10
6.9411691140e+03    2.7705641536e-10
6.9412037358e+03    2.7773650625e-10
6.9412383575e+03    2.7841910470e-10
6.9412729793e+03    2.7910422303e-10
6.9413076010e+03    2.7979187368e-10
6.9413422228e+03    2.8048206914e-10
6.9413768445e+03    2.8117482198e-10
6.9414114663e+03    2.8187014486e-10
6.9414460880e+03    2.8256805051e-10
6.9414807097e+03    2.8326855173e-10
6.9415153315e+03    2.8397166142e-10
6.9415499532e+03    2.8467739254e-10
6.9415845750e+03    2.8538575814e-10
6.9416191967e+03    2.8609677136e-10
6.9416538185e+03    2.8681044541e-10
6.9416884402e+03    2.8752679357e-10
