# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9378186000e+03    3.3455825311e-11
6.9378535267e+03    3.3533812923e-11
6.9378884535e+03    3.3612073487e-11
6.9379233802e+03    3.3690608278e-11
6.9379583070e+03    3.3769418578e-11
6.9379932337e+03    3.3848505677e-11
6.9380281605e+03    3.3927870873e-11
6.9380630872e+03    3.4007515471e-11
6.9380980140e+03    3.4087440784e-11
6.9381329407e+03    3.4167648132e-11
6.9381678675e+03    3.4248138843e-11
6.9382027942e+03    3.4328914253e-11
6.9382377210e+03    3.4409975707e-11
6.9382726478e+03    3.4491324556e-11
6.9383075745e+03    3.4572962160e-11
6.9383425012e+03    3.4654889887e-11
6.9383774280e+03    3.4737109114e-11
6.9384123547e+03    3.4819621223e-11
6.9384472815e+03    3.4902427609e-11
6.9384822082e+03    3.4985529671e-11
6.9385171350e+03    3.5068928818e-11
6.9385520617e+03    3.5152626469e-11
6.9385869885e+03    3.5236624048e-11
6.9386219152e+03    3.5320922991e-11
6.9386568420e+03    3.5405524740e-11
6.9386917687e+03    3.5490430748e-11
6.9387266955e+03    3.5575642474e-11
6.9387616222e+03    3.5661161387e-11
6.9387965490e+03    3.5746988966e-11
6.9388314757e+03    3.5833126698e-11
6.9388664025e+03    3.5919576078e-11
6.9389013292e+03    3.6006338612e-11
6.9389362560e+03    3.6093415812e-11
6.9389711827e+03    3.6180809203e-11
6.9390061095e+03    3.6268520317e-11
6.9390410362e+03    3.6356550695e-11
6.9390759630e+03    3.6444901889e-11
6.9391108897e+03    3.6533575458e-11
6.9391458165e+03    3.6622572973e-11
6.9391807432e+03    3.6711896013e-11
6.9392156700e+03    3.6801546168e-11
6.9392505967e+03    3.6891525036e-11
6.9392855235e+03    3.6981834226e-11
6.9393204502e+03    3.7072475356e-11
6.9393553770e+03    3.7163450055e-11
6.9393903037e+03    7.6048071791e-11
6.9394252305e+03    7.6230179263e-11
6.9394601572e+03    7.6412941964e-11
