# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9374258000e+03    3.6634885502e-11
6.9374611561e+03    3.6721335470e-11
6.9374965123e+03    3.6808091738e-11
6.9375318684e+03    3.6895155755e-11
6.9375672246e+03    3.6982528978e-11
6.9376025808e+03    3.7070212872e-11
6.9376379369e+03    3.7158208912e-11
6.9376732931e+03    3.7246518582e-11
6.9377086492e+03    3.7335143371e-11
6.9377440054e+03    3.7424084783e-11
6.9377793615e+03    3.7513344325e-11
6.9378147176e+03    3.7602923518e-11
6.9378500738e+03    3.7692823888e-11
6.9378854299e+03    3.7783046973e-11
6.9379207861e+03    3.7873594318e-11
6.9379561423e+03    3.7964467480e-11
6.9379914984e+03    3.8055668022e-11
6.9380268546e+03    3.8147197519e-11
6.9380622107e+03    3.8239057555e-11
6.9380975668e+03    3.8331249722e-11
6.9381329230e+03    3.8423775624e-11
6.9381682791e+03    3.8516636872e-11
6.9382036353e+03    3.8609835089e-11
6.9382389914e+03    3.8703371907e-11
6.9382743476e+03    3.8797248968e-11
6.9383097038e+03    3.8891467924e-11
6.9383450599e+03    3.8986030436e-11
6.9383804161e+03    3.9080938176e-11
6.9384157722e+03    3.9176192827e-11
6.9384511283e+03    3.9271796081e-11
6.9384864845e+03    3.9367749640e-11
6.9385218406e+03    3.9464055219e-11
6.9385571968e+03    3.9560714539e-11
6.9385925530e+03    3.9657729337e-11
6.9386279091e+03    3.9755101356e-11
6.9386632653e+03    3.9852832352e-11
6.9386986214e+03    3.9950924091e-11
6.9387339776e+03    4.0049378351e-11
6.9387693337e+03    4.0148196920e-11
6.9388046898e+03    4.0247381596e-11
6.9388400460e+03    4.0346934191e-11
6.9388754021e+03    4.0446856525e-11
6.9389107583e+03    4.0547150432e-11
6.9389461145e+03    4.0647817756e-11
6.9389814706e+03    4.0748860352e-11
6.9390168268e+03    4.0850280088e-11
6.9390521829e+03    4.0952078842e-11
6.9390875390e+03    4.1054258505e-11
6.9391228952e+03    4.1156820979e-11
6.9391582513e+03    4.1259768178e-11
6.9391936075e+03    4.1363102029e-11
6.9392289636e+03    4.1466824469e-11
6.9392643198e+03    4.1570937449e-11
6.9392996760e+03    4.1675442933e-11
6.9393350321e+03    4.1780342893e-11
6.9393703883e+03    4.1885639319e-11
6.9394057444e+03    8.0892891515e-11
6.9394411005e+03    8.1090814909e-11
6.9394764567e+03    8.1289466265e-11
6.9395118128e+03    8.1488849161e-11
6.9395471690e+03    8.1688967195e-11
6.9395825252e+03    8.1889823992e-11
6.9396178813e+03    8.2091423193e-11
6.9396532375e+03    8.2293768466e-11
6.9396885936e+03    8.2496863500e-11
6.9397239498e+03    1.2807944534e-10
6.9397593059e+03    1.9650610118e-10
6.9397946620e+03    1.9697983326e-10
6.9398300182e+03    1.9745528198e-10
6.9398653743e+03    1.9793245564e-10
6.9399007305e+03    1.9841136262e-10
6.9399360867e+03    2.7815074410e-10
6.9399714428e+03    2.7882019413e-10
6.9400067990e+03    2.7949206567e-10
6.9400421551e+03    2.8016637042e-10
6.9400775112e+03    2.8084312014e-10
6.9401128674e+03    2.8152232670e-10
6.9401482235e+03    2.8220400199e-10
6.9401835797e+03    2.8288815801e-10
6.9402189358e+03    2.8357480682e-10
6.9402542920e+03    2.8426396056e-10
6.9402896482e+03    2.8495563143e-10
6.9403250043e+03    2.8564983172e-10
6.9403603605e+03    2.8634657379e-10
6.9403957166e+03    2.8704587006e-10
6.9404310727e+03    2.8774773305e-10
6.9404664289e+03    2.8845217535e-10
6.9405017850e+03    2.8915920961e-10
6.9405371412e+03    2.8986884859e-10
6.9405724974e+03    2.9058110510e-10
6.9406078535e+03    2.9129599204e-10
6.9406432097e+03    2.9201352239e-10
6.9406785658e+03    2.9273370921e-10
6.9407139220e+03    2.9345656565e-10
6.9407492781e+03    2.9418210491e-10
6.9407846342e+03    2.9491034031e-10
6.9408199904e+03    2.9564128523e-10
6.9408553465e+03    2.9637495314e-10
6.9408907027e+03    2.9711135759e-10
