# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9425919030e+03    3.0162886973e-10
6.9426270520e+03    3.0241876097e-10
6.9426622010e+03    3.0321176191e-10
6.9426973500e+03    3.0400788891e-10
6.9427324990e+03    3.0480715844e-10
6.9427676480e+03    3.0560958708e-10
6.9428027970e+03    3.0641519152e-10
6.9428379460e+03    3.0722398855e-10
6.9428730950e+03    3.0803599509e-10
6.9429082440e+03    3.0885122815e-10
6.9429433930e+03    3.0966970487e-10
6.9429785420e+03    3.1049144249e-10
6.9430136910e+03    3.1131645838e-10
6.9430488400e+03    3.1214477002e-10
6.9430839890e+03    3.1297639501e-10
6.9431191380e+03    3.1381135105e-10
6.9431542870e+03    3.1464965598e-10
6.9431894360e+03    3.1549132776e-10
6.9432245850e+03    3.1633638444e-10
6.9432597340e+03    3.1718484424e-10
6.9432948830e+03    3.1803672545e-10
6.9433300320e+03    3.1889204653e-10
6.9433651810e+03    3.1975082604e-10
6.9434003300e+03    3.2061308267e-10
6.9434354790e+03    3.2147883523e-10
6.9434706280e+03    3.3476308337e-10
6.9435057770e+03    3.3566501483e-10
6.9435409260e+03    3.3657060208e-10
6.9435760750e+03    3.3747986492e-10
6.9436112240e+03    3.3839282330e-10
6.9436463730e+03    3.3930949731e-10
6.9436815220e+03    3.4022990717e-10
6.9437166710e+03    3.4115407325e-10
6.9437518200e+03    3.4208201605e-10
6.9437869690e+03    3.4301375620e-10
6.9438221180e+03    3.4394931448e-10
6.9438572670e+03    3.4488871183e-10
6.9438924160e+03    3.4583196930e-10
6.9439275650e+03    3.4677910812e-10
6.9439627140e+03    3.4773014964e-10
6.9439978630e+03    3.4868511538e-10
6.9440330120e+03    3.4964402697e-10
6.9440681610e+03    3.5060690624e-10
6.9441033100e+03    3.5157377513e-10
6.9441384590e+03    3.5254465575e-10
6.9441736080e+03    3.5351957038e-10
6.9442087570e+03    3.5449854141e-10
6.9442439060e+03    3.8247541708e-10
6.9442790550e+03    3.9420296815e-10
6.9443142040e+03    3.9528289678e-10
6.9443493530e+03    3.9636728579e-10
6.9443845020e+03    3.9745615986e-10
6.9444196510e+03    3.9854954385e-10
6.9444548000e+03    4.0245622940e-10
6.9444899490e+03    4.1575430779e-10
6.9445250980e+03    4.1689660874e-10
6.9445602470e+03    4.2884981964e-10
6.9445953960e+03    4.5490349863e-10
6.9446305450e+03    4.5614392392e-10
6.9446656940e+03    4.5738945961e-10
6.9447008430e+03    4.5864013396e-10
6.9447359920e+03    4.5989597542e-10
6.9447711410e+03    4.6800983273e-10
6.9448062900e+03    4.7056919008e-10
6.9448414390e+03    4.7185985200e-10
6.9448765880e+03    4.7315586445e-10
6.9449117370e+03    4.7445725724e-10
6.9449468860e+03    4.7576406036e-10
6.9449820350e+03    4.7707630403e-10
6.9450171840e+03    4.9104983121e-10
6.9450523330e+03    4.9240276271e-10
6.9450874820e+03    4.9728404113e-10
6.9451226310e+03    4.9865655099e-10
6.9451577800e+03    5.0003479057e-10
6.9451929290e+03    5.2447282785e-10
6.9452280780e+03    5.2591672083e-10
6.9452632270e+03    5.2736663125e-10
6.9452983760e+03    5.2882259284e-10
6.9453335250e+03    5.3028463957e-10
6.9453686740e+03    5.3526656546e-10
6.9454038230e+03    5.4223076753e-10
6.9454389720e+03    5.4373242173e-10
6.9454741210e+03    5.5652943131e-10
6.9455092700e+03    5.7807271016e-10
6.9455444190e+03    5.7966691738e-10
6.9455795680e+03    5.8126778934e-10
6.9456147170e+03    5.8287536357e-10
6.9456498660e+03    5.8448967788e-10
6.9456850150e+03    6.1367407926e-10
6.9457201640e+03    6.1536667201e-10
6.9457553130e+03    6.1706634776e-10
6.9457904620e+03    6.4486582163e-10
6.9458256110e+03    6.4664103675e-10
6.9458607600e+03    6.7457171405e-10
6.9458959090e+03    6.7642318944e-10
6.9459310580e+03    6.7828238472e-10
6.9459662070e+03    6.9904632018e-10
6.9460013560e+03    7.4736487266e-10
6.9460365050e+03    7.9922923431e-10
6.9460716540e+03    8.0880421207e-10
6.9461068030e+03    8.1099200095e-10
6.9461419520e+03    8.4077699082e-10
6.9461771010e+03    8.4304757948e-10
6.9462122500e+03    8.6834243179e-10
6.9462473990e+03    9.0681835254e-10
6.9462825480e+03    9.0925609837e-10
6.9463176970e+03    9.1170382700e-10
6.9463528460e+03    9.1416159379e-10
6.9463879950e+03    9.1662945447e-10
6.9464231440e+03    9.2528447622e-10
6.9464582930e+03    9.5830616935e-10
6.9464934420e+03    1.0064159721e-09
6.9465285910e+03    1.0828889074e-09
6.9465637400e+03    1.0857753124e-09
6.9465988890e+03    1.0886734497e-09
6.9466340380e+03    1.0981656435e-09
6.9466691870e+03    1.1069276687e-09
6.9467043360e+03    1.1326814042e-09
6.9467394850e+03    1.1468298470e-09
6.9467746340e+03    1.2101066568e-09
6.9468097830e+03    1.2506085418e-09
6.9468449320e+03    1.2539299338e-09
6.9468800810e+03    1.2831151945e-09
6.9469152300e+03    1.2865242828e-09
6.9469503790e+03    1.3141434869e-09
6.9469855280e+03    1.3612628426e-09
6.9470206770e+03    1.3648730091e-09
6.9470558260e+03    1.3684977904e-09
6.9470909750e+03    1.3920696001e-09
6.9471261240e+03    1.4276417626e-09
6.9471612730e+03    1.4314326520e-09
6.9471964220e+03    1.4464765206e-09
6.9472315710e+03    1.4638553247e-09
6.9472667200e+03    1.4722123513e-09
6.9473018690e+03    1.5015887787e-09
6.9473370180e+03    1.5055862788e-09
6.9473721670e+03    1.5096000323e-09
6.9474073160e+03    1.5136301292e-09
6.9474424650e+03    1.5176766598e-09
6.9474776140e+03    1.6384698730e-09
6.9475127630e+03    1.6428234402e-09
6.9475479120e+03    1.6709633622e-09
6.9475830610e+03    1.7107400651e-09
6.9476182100e+03    1.7152859036e-09
6.9476533590e+03    1.7527521438e-09
6.9476885080e+03    1.7962284823e-09
6.9477236570e+03    1.8025920479e-09
6.9477588060e+03    1.8073853104e-09
6.9477939550e+03    1.8121980547e-09
6.9478291040e+03    1.8170303886e-09
6.9478642530e+03    1.8218824207e-09
6.9478994020e+03    1.8267542603e-09
6.9479345510e+03    1.8316460175e-09
6.9479697000e+03    1.8365578030e-09
6.9480048490e+03    1.8414897286e-09
6.9480399980e+03    1.8464419067e-09
6.9480751470e+03    1.8514144505e-09
6.9481102960e+03    1.8564074740e-09
6.9481454450e+03    1.8614210923e-09
6.9481805940e+03    1.8664554209e-09
6.9482157430e+03    1.8715105763e-09
6.9482508920e+03    1.8765866760e-09
6.9482860410e+03    1.8816838381e-09
6.9483211900e+03    1.8868021817e-09
6.9483563390e+03    1.8919418267e-09
6.9483914880e+03    1.8971028940e-09
6.9484266370e+03    1.9022855051e-09
6.9484617860e+03    1.9074897826e-09
6.9484969350e+03    1.9127158499e-09
6.9485320840e+03    1.9179638315e-09
6.9485672330e+03    1.9232338525e-09
6.9486023820e+03    1.9285260392e-09
6.9486375310e+03    1.9338405185e-09
6.9486726800e+03    1.9391774186e-09
6.9487078290e+03    1.9445368683e-09
6.9487429780e+03    1.9499189976e-09
6.9487781270e+03    1.9553239374e-09
6.9488132760e+03    1.9607518194e-09
6.9488484250e+03    1.9662027766e-09
6.9488835740e+03    1.9716769427e-09
6.9489187230e+03    1.9771744525e-09
6.9489538720e+03    1.9826954417e-09
6.9489890210e+03    1.9882400472e-09
6.9490241700e+03    1.9938084068e-09
6.9490593190e+03    1.9994006594e-09
6.9490944680e+03    2.0050169448e-09
6.9491296170e+03    2.0106574040e-09
6.9491647660e+03    2.0163221790e-09
6.9491999150e+03    2.0220114129e-09
6.9492350640e+03    2.0277252497e-09
6.9492702130e+03    2.0334638348e-09
6.9493053620e+03    2.0392273145e-09
6.9493405110e+03    2.0450158361e-09
6.9493756600e+03    2.0508295484e-09
6.9494108090e+03    2.0566686009e-09
6.9494459580e+03    2.0625331445e-09
6.9494811070e+03    2.0684233312e-09
6.9495162560e+03    2.0743393142e-09
6.9495514050e+03    2.0802812477e-09
6.9495865540e+03    2.0862492872e-09
6.9496217030e+03    2.0922435895e-09
6.9496568520e+03    2.0982643124e-09
6.9496920010e+03    2.1043116151e-09
6.9497271500e+03    2.1103856579e-09
6.9497622990e+03    2.1164866024e-09
6.9497974480e+03    2.1226146115e-09
6.9498325970e+03    2.1287698492e-09
6.9498677460e+03    2.1349524810e-09
6.9499028950e+03    2.1411626735e-09
6.9499380440e+03    2.1474005946e-09
6.9499731930e+03    2.1536664138e-09
6.9500083420e+03    2.1599603015e-09
6.9500434910e+03    2.1662824298e-09
6.9500786400e+03    2.1726329720e-09
6.9501137890e+03    2.1790121026e-09
6.9501489380e+03    2.1854199979e-09
6.9501840870e+03    2.1918568352e-09
6.9502192360e+03    2.1983227933e-09
6.9502543850e+03    2.2048180526e-09
6.9502895340e+03    2.2113427947e-09
6.9503246830e+03    2.2178972029e-09
6.9503598320e+03    2.2244814616e-09
6.9503949810e+03    2.2310957570e-09
6.9504301300e+03    2.2377402768e-09
6.9504652790e+03    2.2444152098e-09
6.9505004280e+03    2.2511207468e-09
6.9505355770e+03    2.2578570800e-09
6.9505707260e+03    2.2646244029e-09
6.9506058750e+03    2.2714229108e-09
6.9506410240e+03    2.2782528007e-09
6.9506761730e+03    2.2851142708e-09
6.9507113220e+03    2.2920075213e-09
6.9507464710e+03    2.2989327539e-09
6.9507816200e+03    2.3058901719e-09
6.9508167690e+03    2.3128799802e-09
6.9508519180e+03    2.3199023855e-09
6.9508870670e+03    2.3269575962e-09
6.9509222160e+03    2.3340458224e-09
6.9509573650e+03    2.3411672758e-09
6.9509925140e+03    2.3483221701e-09
6.9510276630e+03    2.3555107205e-09
6.9510628120e+03    2.3627331442e-09
6.9510979610e+03    2.3699896601e-09
6.9511331100e+03    2.3772804889e-09
6.9511682590e+03    2.3846058532e-09
6.9512034080e+03    2.3919659773e-09
6.9512385570e+03    2.3993610877e-09
6.9512737060e+03    2.4067914125e-09
6.9513088550e+03    2.4142571819e-09
6.9513440040e+03    2.4217586279e-09
6.9513791530e+03    2.4292959845e-09
6.9514143020e+03    2.4368694878e-09
6.9514494510e+03    2.4444793757e-09
6.9514846000e+03    2.4521258883e-09
6.9515197490e+03    2.4598092675e-09
6.9515548980e+03    2.4675297576e-09
6.9515900470e+03    2.4752876047e-09
6.9516251960e+03    2.4830830572e-09
6.9516603450e+03    2.4909163654e-09
6.9516954940e+03    2.4987877820e-09
6.9517306430e+03    2.5066975617e-09
6.9517657920e+03    2.5146459615e-09
6.9518009410e+03    2.5226332406e-09
6.9518360900e+03    2.5306596604e-09
6.9518712390e+03    2.5387254845e-09
6.9519063880e+03    2.5468309790e-09
6.9519415370e+03    2.5549764122e-09
6.9519766860e+03    2.5631620547e-09
6.9520118350e+03    2.5713881796e-09
6.9520469840e+03    2.5796550621e-09
6.9520821330e+03    2.5879629803e-09
6.9521172820e+03    2.5963122142e-09
6.9521524310e+03    2.6047030467e-09
6.9521875800e+03    2.6131357630e-09
6.9522227290e+03    2.6216106509e-09
6.9522578780e+03    2.6301280007e-09
6.9522930270e+03    2.6386881053e-09
6.9523281760e+03    2.6472912602e-09
6.9523633250e+03    2.6559377636e-09
6.9523984740e+03    2.6646279163e-09
6.9524336230e+03    2.6733620219e-09
6.9524687720e+03    2.6821403865e-09
6.9525039210e+03    2.6909633191e-09
6.9525390700e+03    2.6998311317e-09
6.9525742190e+03    2.7087441388e-09
6.9526093680e+03    2.7177026579e-09
6.9526445170e+03    2.7267070093e-09
6.9526796660e+03    2.7357575164e-09
6.9527148150e+03    2.7448545053e-09
6.9527499640e+03    2.7539983053e-09
6.9527851130e+03    2.7631892487e-09
6.9528202620e+03    2.7724276706e-09
6.9528554110e+03    2.7817139094e-09
6.9528905600e+03    2.7910483068e-09
6.9529257090e+03    2.8004312072e-09
6.9529608580e+03    2.8098629586e-09
6.9529960070e+03    2.8193439121e-09
6.9530311560e+03    2.8288744219e-09
6.9530663050e+03    2.8384548458e-09
6.9531014540e+03    2.8480855447e-09
6.9531366030e+03    2.8577668830e-09
