# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9427757237e+03    3.3506592567e-10
6.9428108708e+03    3.3595335566e-10
6.9428460179e+03    3.3684431829e-10
6.9428811650e+03    3.3773883235e-10
6.9429163121e+03    3.3863691676e-10
6.9429514592e+03    3.3953859055e-10
6.9429866063e+03    3.4044387289e-10
6.9430217534e+03    3.4135278307e-10
6.9430569005e+03    3.4226534053e-10
6.9430920476e+03    3.4318156481e-10
6.9431271947e+03    3.4410147561e-10
6.9431623418e+03    3.4502509273e-10
6.9431974889e+03    3.4595243614e-10
6.9432326360e+03    3.4688352592e-10
6.9432677831e+03    3.4781838229e-10
6.9433029302e+03    3.4875702561e-10
6.9433380773e+03    3.4969947638e-10
6.9433732244e+03    3.5064575524e-10
6.9434083715e+03    3.5159588295e-10
6.9434435186e+03    3.5254988044e-10
6.9434786657e+03    3.5350776877e-10
6.9435138128e+03    3.5446956914e-10
6.9435489599e+03    3.5543530290e-10
6.9435841070e+03    3.5640499154e-10
6.9436192541e+03    3.5737865670e-10
6.9436544012e+03    3.5835632018e-10
6.9436895483e+03    3.5933800391e-10
6.9437246954e+03    3.6032372998e-10
6.9437598425e+03    3.6131352063e-10
6.9437949896e+03    3.6230739826e-10
6.9438301367e+03    3.7840512240e-10
6.9438652838e+03    3.7944266622e-10
6.9439004309e+03    3.8048448992e-10
6.9439355780e+03    3.8153061711e-10
6.9439707251e+03    3.8258107155e-10
6.9440058722e+03    3.8363587719e-10
6.9440410193e+03    3.8469505812e-10
6.9440761664e+03    3.8575863861e-10
6.9441113135e+03    3.8682664310e-10
6.9441464606e+03    3.8789909620e-10
6.9441816077e+03    3.8897602269e-10
6.9442167548e+03    3.9005744752e-10
6.9442519019e+03    3.9114339582e-10
6.9442870490e+03    4.2746176022e-10
6.9443221961e+03    4.2863948460e-10
6.9443573432e+03    4.2982210006e-10
6.9443924903e+03    4.3100963380e-10
6.9444276374e+03    4.3220211322e-10
6.9444627845e+03    4.3339956592e-10
6.9444979316e+03    4.3460201969e-10
6.9445330787e+03    4.4618072041e-10
6.9445682258e+03    4.4741761572e-10
6.9446033729e+03    4.5944287613e-10
6.9446385200e+03    4.7071872518e-10
6.9446736671e+03    4.7202009681e-10
6.9447088142e+03    4.8924033860e-10
6.9447439613e+03    4.9058996099e-10
6.9447791084e+03    5.0393646967e-10
6.9448142555e+03    5.1917586724e-10
6.9448494026e+03    5.2683729838e-10
6.9448845497e+03    5.2828517838e-10
6.9449196968e+03    5.4077986270e-10
6.9449548439e+03    5.5427583204e-10
6.9449899910e+03    5.5579608863e-10
6.9450251381e+03    5.5732265584e-10
6.9450602852e+03    5.5885556887e-10
6.9450954323e+03    5.6039486320e-10
6.9451305794e+03    5.6194057455e-10
6.9451657265e+03    5.7022833920e-10
6.9452008736e+03    5.7871636902e-10
6.9452360207e+03    5.8031363897e-10
6.9452711678e+03    5.8191758451e-10
6.9453063149e+03    5.8352824317e-10
6.9453414620e+03    5.8514565274e-10
6.9453766091e+03    6.0976146073e-10
6.9454117562e+03    6.4903796481e-10
6.9454469033e+03    6.5081824513e-10
6.9454820504e+03    6.5260593230e-10
6.9455171975e+03    6.5440106783e-10
6.9455523446e+03    6.5620369355e-10
6.9455874917e+03    7.0049650690e-10
6.9456226388e+03    7.0241396287e-10
6.9456577859e+03    7.0433938774e-10
6.9456929330e+03    7.0627282620e-10
6.9457280801e+03    7.0821432322e-10
6.9457632272e+03    7.1016392411e-10
6.9457983743e+03    7.1212167452e-10
6.9458335214e+03    7.2109061122e-10
6.9458686685e+03    7.3585529080e-10
6.9459038156e+03    7.7387088006e-10
6.9459389627e+03    7.7599278025e-10
6.9459741098e+03    8.3409997453e-10
6.9460092569e+03    8.7331166777e-10
6.9460444040e+03    8.8259554946e-10
6.9460795511e+03    8.9400848071e-10
6.9461146982e+03    9.4419886152e-10
6.9461498453e+03    9.9211544829e-10
6.9461849924e+03    1.0512503850e-09
6.9462201395e+03    1.1236027345e-09
6.9462552866e+03    1.1265841369e-09
6.9462904337e+03    1.1747298168e-09
6.9463255808e+03    1.2021106023e-09
6.9463607279e+03    1.2531623977e-09
6.9463958750e+03    1.2564687149e-09
6.9464310221e+03    1.2597883321e-09
6.9464661692e+03    1.2631213217e-09
6.9465013163e+03    1.2797691393e-09
6.9465364634e+03    1.3490445378e-09
6.9465716105e+03    1.3526040781e-09
6.9466067576e+03    1.3708687831e-09
