# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9372094000e+03    3.8222532796e-11
6.9372449628e+03    3.8313257240e-11
6.9372805255e+03    3.8404305013e-11
6.9373160882e+03    3.8495677654e-11
6.9373516510e+03    3.8587376709e-11
6.9373872137e+03    3.8679403734e-11
6.9374227765e+03    3.8771760296e-11
6.9374583392e+03    3.8864447968e-11
6.9374939020e+03    3.8957468336e-11
6.9375294647e+03    3.9050822993e-11
6.9375650275e+03    3.9144513543e-11
6.9376005903e+03    3.9238541598e-11
6.9376361530e+03    3.9332908781e-11
6.9376717157e+03    3.9427616725e-11
6.9377072785e+03    3.9522667072e-11
6.9377428412e+03    3.9618061474e-11
6.9377784040e+03    3.9713801594e-11
6.9378139667e+03    3.9809889102e-11
6.9378495295e+03    3.9906325683e-11
6.9378850922e+03    4.0003113027e-11
6.9379206550e+03    4.0100252839e-11
6.9379562178e+03    4.0197746831e-11
6.9379917805e+03    4.0295596727e-11
6.9380273432e+03    4.0393804260e-11
6.9380629060e+03    4.0492371176e-11
6.9380984687e+03    4.0591299230e-11
6.9381340315e+03    4.0690590187e-11
6.9381695943e+03    4.0790245825e-11
6.9382051570e+03    4.0890267930e-11
6.9382407197e+03    4.0990658303e-11
6.9382762825e+03    4.1091418751e-11
6.9383118452e+03    4.1192551098e-11
6.9383474080e+03    4.1294057173e-11
6.9383829707e+03    4.1395938821e-11
6.9384185335e+03    4.1498197896e-11
6.9384540962e+03    4.1600836265e-11
6.9384896590e+03    4.1703855805e-11
6.9385252218e+03    4.1807258405e-11
6.9385607845e+03    4.1911045967e-11
6.9385963472e+03    4.2015220403e-11
6.9386319100e+03    4.2119783638e-11
6.9386674727e+03    4.2224737609e-11
6.9387030355e+03    4.2330084265e-11
6.9387385982e+03    4.2435825566e-11
6.9387741610e+03    4.2541963486e-11
