# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9386015000e+03    2.3608054674e-11
6.9386356668e+03    2.3661887148e-11
6.9386698337e+03    2.3715903920e-11
6.9387040005e+03    2.3770105835e-11
6.9387381674e+03    2.3824493737e-11
6.9387723342e+03    2.3879068480e-11
6.9388065011e+03    2.3933830920e-11
6.9388406679e+03    2.3988781918e-11
6.9388748348e+03    2.4043922340e-11
6.9389090016e+03    2.4099253059e-11
6.9389431685e+03    2.4154774951e-11
6.9389773353e+03    2.4210488896e-11
6.9390115022e+03    2.4266395783e-11
6.9390456690e+03    2.4322496502e-11
6.9390798359e+03    2.4378791950e-11
6.9391140027e+03    2.4435283030e-11
6.9391481696e+03    2.4491970649e-11
6.9391823364e+03    2.4548855719e-11
6.9392165033e+03    2.4605939158e-11
6.9392506701e+03    2.4663221890e-11
6.9392848370e+03    2.4720704843e-11
6.9393190038e+03    6.3361247239e-11
6.9393531707e+03    6.3507138473e-11
6.9393873375e+03    6.3653534127e-11
6.9394215044e+03    6.3800436531e-11
6.9394556712e+03    6.3947848024e-11
6.9394898381e+03    1.1017736140e-10
6.9395240049e+03    1.1043091480e-10
6.9395581718e+03    1.1068534439e-10
6.9395923386e+03    1.6279962735e-10
6.9396265055e+03    1.6317420183e-10
6.9396606723e+03    1.6355007044e-10
6.9396948392e+03    2.3397742736e-10
6.9397290060e+03    2.3451571486e-10
6.9397631729e+03    2.3505586189e-10
6.9397973397e+03    2.3559787702e-10
6.9398315066e+03    2.3614176890e-10
6.9398656735e+03    2.3668754617e-10
6.9398998403e+03    2.3723521758e-10
6.9399340072e+03    2.3778479189e-10
6.9399681740e+03    2.3833627792e-10
6.9400023409e+03    2.3888968457e-10
6.9400365077e+03    2.3944502074e-10
6.9400706746e+03    2.4000229543e-10
6.9401048414e+03    2.4056151766e-10
6.9401390083e+03    2.4112269652e-10
6.9401731751e+03    2.4168584114e-10
6.9402073419e+03    2.4225096073e-10
6.9402415088e+03    2.4281806451e-10
6.9402756756e+03    2.4338716180e-10
6.9403098425e+03    2.4395826194e-10
6.9403440093e+03    2.4453137435e-10
6.9403781762e+03    2.4510650848e-10
6.9404123430e+03    2.4568367386e-10
6.9404465099e+03    2.4626288006e-10
6.9404806767e+03    2.4684413672e-10
6.9405148436e+03    2.4742745351e-10
6.9405490104e+03    2.4801284020e-10
6.9405831773e+03    2.4860030659e-10
6.9406173441e+03    2.4918986252e-10
6.9406515110e+03    2.4978151794e-10
6.9406856778e+03    2.5037528280e-10
6.9407198447e+03    2.5097116717e-10
6.9407540115e+03    2.5156918112e-10
6.9407881784e+03    2.5216933483e-10
6.9408223452e+03    2.5277163851e-10
6.9408565121e+03    2.5337610244e-10
6.9408906789e+03    2.5398273696e-10
6.9409248458e+03    2.5459155249e-10
6.9409590126e+03    2.5520255947e-10
6.9409931795e+03    2.5581576845e-10
6.9410273463e+03    2.5643119002e-10
6.9410615132e+03    2.5704883483e-10
6.9410956800e+03    2.5766871360e-10
6.9411298469e+03    2.5829083712e-10
6.9411640137e+03    2.5891521624e-10
6.9411981806e+03    2.5954186187e-10
6.9412323474e+03    2.6017078500e-10
6.9412665143e+03    2.6080199668e-10
6.9413006811e+03    2.6143550802e-10
6.9413348480e+03    2.6207133020e-10
6.9413690148e+03    2.6270947449e-10
6.9414031817e+03    2.6334995218e-10
6.9414373486e+03    2.6399277469e-10
6.9414715154e+03    2.6463795345e-10
