# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9441614511e+03    4.7377758667e-10
6.9441950582e+03    4.7865957833e-10
6.9442286653e+03    4.7986677653e-10
6.9442622725e+03    4.8107856986e-10
6.9442958796e+03    4.8932290656e-10
6.9443294868e+03    4.9055972676e-10
6.9443630939e+03    4.9180126602e-10
6.9443967011e+03    4.9304754849e-10
6.9444303083e+03    5.0137724643e-10
6.9444639154e+03    5.1192940353e-10
6.9444975226e+03    5.2793311274e-10
6.9445311297e+03    5.2926850156e-10
6.9445647369e+03    5.3060899238e-10
6.9445983440e+03    5.5072415488e-10
6.9446319511e+03    5.7304505458e-10
6.9446655583e+03    5.7711166015e-10
6.9446991654e+03    5.8511317827e-10
6.9447327726e+03    5.9607694885e-10
6.9447663797e+03    6.1427362028e-10
6.9447999869e+03    6.1582054499e-10
6.9448335941e+03    6.1737336027e-10
6.9448672012e+03    6.1893209626e-10
6.9449008084e+03    6.2049678330e-10
6.9449344155e+03    6.7263196466e-10
6.9449680226e+03    7.3268640260e-10
6.9450016298e+03    7.3451395172e-10
6.9450352369e+03    7.3634840049e-10
6.9450688441e+03    7.6442428787e-10
6.9451024512e+03    8.0456684653e-10
6.9451360584e+03    8.0656708947e-10
6.9451696655e+03    8.2572815466e-10
6.9452032727e+03    8.2778197194e-10
6.9452368799e+03    8.2984352495e-10
6.9452704870e+03    8.3191285289e-10
6.9453040942e+03    8.9593424134e-10
6.9453377013e+03    9.2112816921e-10
6.9453713084e+03    9.9894260487e-10
6.9454049156e+03    1.0262015692e-09
6.9454385227e+03    1.0359284566e-09
6.9454721299e+03    1.0384809291e-09
6.9455057370e+03    1.0410429305e-09
6.9455393442e+03    1.0481548640e-09
6.9455729514e+03    1.0610850627e-09
6.9456065585e+03    1.0824735774e-09
6.9456401657e+03    1.1189539249e-09
6.9456737728e+03    1.1217160991e-09
6.9457073800e+03    1.1350970452e-09
6.9457409871e+03    1.1496722733e-09
6.9457745942e+03    1.1525158960e-09
6.9458082014e+03    1.1626881775e-09
6.9458418085e+03    1.1655695992e-09
6.9458754157e+03    1.2055303880e-09
6.9459090228e+03    1.2217261691e-09
6.9459426300e+03    1.2489838395e-09
6.9459762372e+03    1.2520767249e-09
6.9460098443e+03    1.2551812212e-09
6.9460434515e+03    1.2826841348e-09
6.9460770586e+03    1.2858667832e-09
6.9461106657e+03    1.3100267034e-09
6.9461442729e+03    1.3262736612e-09
6.9461778800e+03    1.3470030460e-09
6.9462114872e+03    1.3503497100e-09
6.9462450943e+03    1.3593160096e-09
6.9462787015e+03    1.3627005362e-09
6.9463123086e+03    1.3684784568e-09
6.9463459158e+03    1.3920685941e-09
6.9463795230e+03    1.4215901074e-09
6.9464131301e+03    1.4251353961e-09
6.9464467373e+03    1.4311708711e-09
6.9464803444e+03    1.4347486067e-09
6.9465139515e+03    1.4383399090e-09
6.9465475587e+03    1.4419448475e-09
6.9465811658e+03    1.4455634920e-09
6.9466147730e+03    1.4491959129e-09
6.9466483801e+03    1.4528421808e-09
6.9466819873e+03    1.4565023671e-09
6.9467155945e+03    1.4601765434e-09
6.9467492016e+03    1.4638647819e-09
6.9467828088e+03    1.4675671552e-09
6.9468164159e+03    1.4712837365e-09
6.9468500231e+03    1.4750145993e-09
6.9468836302e+03    1.4787598177e-09
6.9469172373e+03    1.4825194662e-09
6.9469508445e+03    1.4862936199e-09
6.9469844516e+03    1.4900823544e-09
6.9470180588e+03    1.4938857456e-09
6.9470516659e+03    1.4977038701e-09
6.9470852731e+03    1.5015368050e-09
6.9471188803e+03    1.5053846278e-09
6.9471524874e+03    1.5092474166e-09
6.9471860946e+03    1.5131252500e-09
6.9472197017e+03    1.5170182071e-09
6.9472533088e+03    1.5209263675e-09
6.9472869160e+03    1.5248498114e-09
6.9473205231e+03    1.5287886195e-09
6.9473541303e+03    1.5327428731e-09
6.9473877374e+03    1.5367126539e-09
6.9474213446e+03    1.5406980443e-09
6.9474549517e+03    1.5446991271e-09
6.9474885589e+03    1.5487159859e-09
6.9475221661e+03    1.5527487046e-09
6.9475557732e+03    1.5567973678e-09
6.9475893804e+03    1.5608620607e-09
6.9476229875e+03    1.5649428690e-09
6.9476565946e+03    1.5690398789e-09
6.9476902018e+03    1.5731531774e-09
6.9477238089e+03    1.5772828520e-09
6.9477574161e+03    1.5814289908e-09
6.9477910232e+03    1.5855916824e-09
6.9478246304e+03    1.5897710160e-09
6.9478582376e+03    1.5939670817e-09
6.9478918447e+03    1.5981799699e-09
6.9479254519e+03    1.6024097717e-09
6.9479590590e+03    1.6066565789e-09
6.9479926662e+03    1.6109204839e-09
6.9480262733e+03    1.6152015796e-09
6.9480598804e+03    1.6194999599e-09
6.9480934876e+03    1.6238157189e-09
6.9481270947e+03    1.6281489516e-09
6.9481607019e+03    1.6324997538e-09
6.9481943090e+03    1.6368682215e-09
6.9482279162e+03    1.6412544519e-09
6.9482615234e+03    1.6456585424e-09
6.9482951305e+03    1.6500805915e-09
6.9483287377e+03    1.6545206982e-09
6.9483623448e+03    1.6589789620e-09
6.9483959519e+03    1.6634554835e-09
6.9484295591e+03    1.6679503636e-09
6.9484631662e+03    1.6724637042e-09
6.9484967734e+03    1.6769956078e-09
6.9485303805e+03    1.6815461776e-09
6.9485639877e+03    1.6861155177e-09
6.9485975948e+03    1.6907037326e-09
6.9486312020e+03    1.6953109278e-09
6.9486648092e+03    1.6999372096e-09
6.9486984163e+03    1.7045826848e-09
6.9487320235e+03    1.7092474612e-09
6.9487656306e+03    1.7139316472e-09
6.9487992377e+03    1.7186353521e-09
6.9488328449e+03    1.7233586859e-09
6.9488664520e+03    1.7281017593e-09
6.9489000592e+03    1.7328646841e-09
6.9489336663e+03    1.7376475725e-09
6.9489672735e+03    1.7424505378e-09
6.9490008806e+03    1.7472736941e-09
6.9490344878e+03    1.7521171561e-09
6.9490680950e+03    1.7569810396e-09
6.9491017021e+03    1.7618654610e-09
6.9491353093e+03    1.7667705378e-09
6.9491689164e+03    1.7716963880e-09
6.9492025235e+03    1.7766431309e-09
6.9492361307e+03    1.7816108862e-09
6.9492697378e+03    1.7865997749e-09
6.9493033450e+03    1.7916099185e-09
6.9493369521e+03    1.7966414398e-09
6.9493705593e+03    1.8016944621e-09
6.9494041665e+03    1.8067691098e-09
6.9494377736e+03    1.8118655082e-09
6.9494713808e+03    1.8169837836e-09
6.9495049879e+03    1.8221240630e-09
6.9495385950e+03    1.8272864747e-09
6.9495722022e+03    1.8324711475e-09
6.9496058093e+03    1.8376782115e-09
6.9496394165e+03    1.8429077976e-09
6.9496730236e+03    1.8481600378e-09
6.9497066308e+03    1.8534350649e-09
6.9497402379e+03    1.8587330129e-09
6.9497738451e+03    1.8640540166e-09
6.9498074523e+03    1.8693982119e-09
6.9498410594e+03    1.8747657359e-09
6.9498746666e+03    1.8801567263e-09
6.9499082737e+03    1.8855713222e-09
6.9499418808e+03    1.8910096637e-09
6.9499754880e+03    1.8964718917e-09
6.9500090951e+03    1.9019581485e-09
6.9500427023e+03    1.9074685773e-09
6.9500763094e+03    1.9130033224e-09
6.9501099166e+03    1.9185625292e-09
6.9501435237e+03    1.9241463442e-09
6.9501771309e+03    1.9297549151e-09
6.9502107381e+03    1.9353883905e-09
6.9502443452e+03    1.9410469204e-09
6.9502779524e+03    1.9467306559e-09
6.9503115595e+03    1.9524397490e-09
6.9503451666e+03    1.9581743532e-09
6.9503787738e+03    1.9639346230e-09
6.9504123809e+03    1.9697207142e-09
6.9504459881e+03    1.9755327836e-09
6.9504795952e+03    1.9813709894e-09
6.9505132024e+03    1.9872354910e-09
6.9505468096e+03    1.9931264491e-09
6.9505804167e+03    1.9990440253e-09
6.9506140239e+03    2.0049883830e-09
6.9506476310e+03    2.0109596863e-09
6.9506812381e+03    2.0169581011e-09
6.9507148453e+03    2.0229837943e-09
6.9507484524e+03    2.0290369341e-09
6.9507820596e+03    2.0351176902e-09
6.9508156667e+03    2.0412262334e-09
6.9508492739e+03    2.0473627361e-09
6.9508828810e+03    2.0535273719e-09
6.9509164882e+03    2.0597203157e-09
6.9509500954e+03    2.0659417440e-09
6.9509837025e+03    2.0721918346e-09
6.9510173097e+03    2.0784707666e-09
6.9510509168e+03    2.0847787207e-09
6.9510845239e+03    2.0911158790e-09
6.9511181311e+03    2.0974824250e-09
6.9511517382e+03    2.1038785436e-09
6.9511853454e+03    2.1103044214e-09
6.9512189525e+03    2.1167602463e-09
6.9512525597e+03    2.1232462078e-09
6.9512861668e+03    2.1297624968e-09
6.9513197740e+03    2.1363093061e-09
6.9513533812e+03    2.1428868296e-09
6.9513869883e+03    2.1494952630e-09
6.9514205955e+03    2.1561348036e-09
6.9514542026e+03    2.1628056504e-09
6.9514878097e+03    2.1695080036e-09
6.9515214169e+03    2.1762420656e-09
6.9515550240e+03    2.1830080401e-09
6.9515886312e+03    2.1898061325e-09
6.9516222383e+03    2.1966365499e-09
6.9516558455e+03    2.2034995012e-09
6.9516894527e+03    2.2103951970e-09
6.9517230598e+03    2.2173238495e-09
6.9517566670e+03    2.2242856728e-09
6.9517902741e+03    2.2312808827e-09
6.9518238813e+03    2.2383096968e-09
6.9518574884e+03    2.2453723345e-09
6.9518910955e+03    2.2524690171e-09
6.9519247027e+03    2.2595999676e-09
6.9519583098e+03    2.2667654111e-09
6.9519919170e+03    2.2739655742e-09
6.9520255241e+03    2.2812006859e-09
6.9520591313e+03    2.2884709766e-09
6.9520927385e+03    2.2957766791e-09
6.9521263456e+03    2.3031180279e-09
6.9521599528e+03    2.3104952595e-09
6.9521935599e+03    2.3179086124e-09
6.9522271670e+03    2.3253583273e-09
6.9522607742e+03    2.3328446468e-09
6.9522943813e+03    2.3403678155e-09
6.9523279885e+03    2.3479280802e-09
6.9523615956e+03    2.3555256897e-09
6.9523952028e+03    2.3631608951e-09
6.9524288099e+03    2.3708339495e-09
6.9524624171e+03    2.3785451083e-09
6.9524960243e+03    2.3862946289e-09
6.9525296314e+03    2.3940827712e-09
6.9525632386e+03    2.4019097971e-09
6.9525968457e+03    2.4097759709e-09
6.9526304528e+03    2.4176815591e-09
6.9526640600e+03    2.4256268307e-09
6.9526976671e+03    2.4336120569e-09
6.9527312743e+03    2.4416375111e-09
6.9527648814e+03    2.4497034695e-09
6.9527984886e+03    2.4578102103e-09
6.9528320958e+03    2.4659580146e-09
6.9528657029e+03    2.4741471654e-09
6.9528993101e+03    2.4823779488e-09
6.9529329172e+03    2.4906506529e-09
6.9529665244e+03    2.4989655687e-09
6.9530001315e+03    2.5073229896e-09
6.9530337386e+03    2.5157232117e-09
6.9530673458e+03    2.5241665338e-09
6.9531009529e+03    2.5326532571e-09
6.9531345601e+03    2.5411836857e-09
6.9531681672e+03    2.5497581265e-09
6.9532017744e+03    2.5583768889e-09
6.9532353816e+03    2.5670402853e-09
6.9532689887e+03    2.5757486308e-09
6.9533025959e+03    2.5845022434e-09
6.9533362030e+03    2.5933014439e-09
6.9533698101e+03    2.6021465561e-09
6.9534034173e+03    2.6110379068e-09
6.9534370244e+03    2.6199758255e-09
6.9534706316e+03    2.6289606449e-09
6.9535042387e+03    2.6379927009e-09
6.9535378459e+03    2.6470723322e-09
6.9535714530e+03    2.6561998806e-09
6.9536050602e+03    2.6653756913e-09
6.9536386674e+03    2.6746001124e-09
6.9536722745e+03    2.6838734955e-09
6.9537058817e+03    2.6931961952e-09
6.9537394888e+03    2.7025685694e-09
6.9537730959e+03    2.7119909796e-09
6.9538067031e+03    2.7214637904e-09
6.9538403102e+03    2.7309873698e-09
6.9538739174e+03    2.7405620894e-09
6.9539075245e+03    2.7501883242e-09
6.9539411317e+03    2.7598664527e-09
6.9539747388e+03    2.7695968570e-09
6.9540083460e+03    2.7793799227e-09
6.9540419532e+03    2.7892160393e-09
6.9540755603e+03    2.7991055996e-09
6.9541091675e+03    2.8090490006e-09
6.9541427746e+03    2.8190466426e-09
6.9541763817e+03    2.8290989301e-09
6.9542099889e+03    2.8392062712e-09
6.9542435960e+03    2.8493690781e-09
6.9542772032e+03    2.8595877667e-09
6.9543108103e+03    2.8698627573e-09
6.9543444175e+03    2.8801944738e-09
6.9543780247e+03    2.8905833445e-09
6.9544116318e+03    2.9010298017e-09
6.9544452390e+03    2.9115342820e-09
6.9544788461e+03    2.9220972261e-09
6.9545124532e+03    2.9327190792e-09
6.9545460604e+03    2.9434002907e-09
6.9545796675e+03    2.9541413143e-09
6.9546132747e+03    2.9649426085e-09
6.9546468818e+03    2.9758046358e-09
6.9546804890e+03    2.9867278638e-09
6.9547140961e+03    2.9977127642e-09
6.9547477033e+03    3.0087598139e-09
6.9547813105e+03    3.0198694940e-09
