# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9393882000e+03    2.7555743022e-11
6.9394214675e+03    2.7616920552e-11
6.9394547350e+03    8.4742833876e-11
6.9394880025e+03    8.4931163796e-11
6.9395212700e+03    8.5120122092e-11
6.9395545375e+03    8.5309711560e-11
6.9395878050e+03    1.1448293592e-10
6.9396210725e+03    1.1473815360e-10
6.9396543400e+03    1.8339958521e-10
6.9396876075e+03    1.8380850627e-10
6.9397208750e+03    1.8421879621e-10
6.9397541425e+03    1.8463046117e-10
6.9397874100e+03    1.8504350728e-10
6.9398206775e+03    1.8545794074e-10
6.9398539450e+03    1.8587376775e-10
6.9398872125e+03    1.8629099458e-10
6.9399204800e+03    1.8670962751e-10
6.9399537475e+03    1.9665876542e-10
6.9399870150e+03    1.9710140137e-10
6.9400202825e+03    1.9754553313e-10
6.9400535500e+03    1.9799116745e-10
6.9400868175e+03    1.9843831109e-10
6.9401200850e+03    1.9888697090e-10
6.9401533525e+03    1.9933715372e-10
6.9401866200e+03    1.9978886647e-10
6.9402198875e+03    2.0024211607e-10
6.9402531550e+03    2.0069690950e-10
6.9402864225e+03    2.0115325379e-10
6.9403196900e+03    2.0161115599e-10
6.9403529575e+03    2.0207062320e-10
6.9403862250e+03    2.0253166256e-10
6.9404194925e+03    2.0299428125e-10
6.9404527600e+03    2.0345848648e-10
6.9404860275e+03    2.0392428552e-10
6.9405192950e+03    2.0439168568e-10
6.9405525625e+03    2.0486069429e-10
6.9405858300e+03    2.0533131875e-10
6.9406190975e+03    2.0580356648e-10
6.9406523650e+03    2.0627744495e-10
6.9406856325e+03    2.0675296169e-10
6.9407189000e+03    2.0723012425e-10
6.9407521675e+03    2.0770894023e-10
6.9407854350e+03    2.0818941729e-10
6.9408187025e+03    2.0867156310e-10
6.9408519700e+03    2.0915538540e-10
6.9408852375e+03    2.0964089199e-10
6.9409185050e+03    2.1012809067e-10
6.9409517725e+03    2.1061698932e-10
6.9409850400e+03    2.1110759586e-10
6.9410183075e+03    2.1159991825e-10
6.9410515750e+03    2.1209396450e-10
6.9410848425e+03    2.1258974266e-10
6.9411181100e+03    2.1308726084e-10
6.9411513775e+03    2.1358652718e-10
6.9411846450e+03    2.1408754990e-10
6.9412179125e+03    2.1459033722e-10
6.9412511800e+03    2.1509489745e-10
6.9412844475e+03    2.1560123893e-10
6.9413177150e+03    2.1610937006e-10
6.9413509825e+03    2.1661929927e-10
6.9413842500e+03    2.1713103505e-10
6.9414175175e+03    2.1764458596e-10
6.9414507850e+03    2.1815996057e-10
6.9414840525e+03    2.1867716754e-10
6.9415173200e+03    2.1919621556e-10
6.9415505875e+03    2.1971711337e-10
6.9415838550e+03    2.2023986978e-10
6.9416171225e+03    2.2076449363e-10
6.9416503900e+03    2.2129099383e-10
6.9416836575e+03    2.2181937933e-10
6.9417169250e+03    2.2842701052e-10
6.9417501925e+03    2.2897269238e-10
6.9417834600e+03    2.2952033174e-10
6.9418167275e+03    2.3006993800e-10
6.9418499950e+03    2.3062152056e-10
6.9418832625e+03    2.3117508893e-10
6.9419165300e+03    2.3173065263e-10
6.9419497975e+03    2.3228822128e-10
6.9419830650e+03    2.3284780453e-10
6.9420163325e+03    2.3340941210e-10
6.9420496000e+03    2.3397305375e-10
6.9420828675e+03    2.3453873934e-10
6.9421161350e+03    2.3510647874e-10
6.9421494025e+03    2.3567628191e-10
6.9421826700e+03    2.3624815887e-10
6.9422159375e+03    2.3682211968e-10
6.9422492050e+03    2.3739817450e-10
6.9422824725e+03    2.3797633351e-10
6.9423157400e+03    2.3855660697e-10
6.9423490075e+03    2.3913900520e-10
6.9423822750e+03    2.3972353860e-10
6.9424155425e+03    2.4031021761e-10
6.9424488100e+03    2.4089905274e-10
6.9424820775e+03    2.4312936417e-10
6.9425153450e+03    2.4372618660e-10
6.9425486125e+03    2.4432520924e-10
6.9425818800e+03    2.6096338578e-10
6.9426151475e+03    2.6160245697e-10
6.9426484150e+03    2.6224387981e-10
6.9426816825e+03    2.6288766584e-10
6.9427149500e+03    2.8256272110e-10
6.9427482175e+03    2.8325352822e-10
6.9427814850e+03    2.8394687455e-10
6.9428147525e+03    2.8464277256e-10
6.9428480200e+03    2.8534123479e-10
6.9428812875e+03    2.8604227388e-10
6.9429145550e+03    2.8809126064e-10
6.9429478225e+03    2.8880048097e-10
6.9429810900e+03    2.8951232648e-10
6.9430143575e+03    2.9022681015e-10
6.9430476250e+03    2.9094394504e-10
6.9430808925e+03    2.9166374431e-10
6.9431141600e+03    2.9648164476e-10
6.9431474275e+03    2.9721590875e-10
6.9431806950e+03    3.0721437576e-10
6.9432139625e+03    3.0797469198e-10
6.9432472300e+03    3.1058713282e-10
6.9432804975e+03    3.1506299531e-10
6.9433137650e+03    3.2576761529e-10
6.9433470325e+03    3.4338099332e-10
6.9433803000e+03    3.5071421734e-10
6.9434135675e+03    3.5157828340e-10
6.9434468350e+03    3.6146763178e-10
6.9434801025e+03    3.6235816820e-10
6.9435133700e+03    3.7174704318e-10
6.9435466375e+03    3.7266306551e-10
6.9435799050e+03    3.8257398804e-10
6.9436131725e+03    3.8351680625e-10
6.9436464400e+03    3.9531750116e-10
6.9436797075e+03    3.9629144321e-10
6.9437129750e+03    3.9855364757e-10
6.9437462425e+03    3.9953769330e-10
6.9437795100e+03    4.0052540059e-10
6.9438127775e+03    4.0151678770e-10
6.9438460450e+03    4.1164552419e-10
6.9438793125e+03    4.1555405209e-10
6.9439125800e+03    4.1658336575e-10
6.9439458475e+03    4.1761652275e-10
6.9439791150e+03    4.1865354231e-10
6.9440123825e+03    4.2548448862e-10
6.9440456500e+03    4.4539639142e-10
6.9440789175e+03    4.4649990286e-10
6.9441121850e+03    4.5057192520e-10
6.9441454525e+03    4.5169028591e-10
6.9441787200e+03    4.5281283344e-10
6.9442119875e+03    4.6246978215e-10
6.9442452550e+03    4.8014049787e-10
6.9442785225e+03    4.8133144542e-10
6.9443117900e+03    4.8252685052e-10
6.9443450575e+03    5.1293371271e-10
6.9443783250e+03    5.1420298721e-10
6.9444115925e+03    5.1547700323e-10
6.9444448600e+03    5.2137954371e-10
6.9444781275e+03    5.3202831966e-10
6.9445113950e+03    5.3428722041e-10
6.9445446625e+03    5.3845051669e-10
6.9445779300e+03    5.3978830137e-10
