# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.25, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 200 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.25 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
-3.7674760000e+00    3.0014973836e-06
-3.7597644000e+00    3.0114111128e-06
-3.7520528000e+00    3.0213740286e-06
-3.7443412000e+00    3.0313864567e-06
-3.7366296000e+00    3.0414487257e-06
-3.7289180000e+00    3.0515611669e-06
-3.7212064000e+00    3.0617241144e-06
-3.7134948000e+00    3.0719379048e-06
-3.7057832000e+00    3.0822028780e-06
-3.6980716000e+00    3.0925193763e-06
-3.6903600000e+00    3.1028877450e-06
-3.6826484000e+00    3.1133083325e-06
-3.6749368000e+00    3.1237814899e-06
-3.6672252000e+00    3.1343075712e-06
-3.6595136000e+00    3.1448869337e-06
-3.6518020000e+00    3.1555199373e-06
-3.6440904000e+00    3.1662069454e-06
-3.6363788000e+00    3.1769483241e-06
-3.6286672000e+00    3.1877444428e-06
-3.6209556000e+00    3.1985956739e-06
-3.6132440000e+00    3.2095023933e-06
-3.6055324000e+00    3.2204649796e-06
-3.5978208000e+00    3.2314838152e-06
-3.5901092000e+00    3.2425592852e-06
-3.5823976000e+00    3.2536917784e-06
-3.5746860000e+00    3.2648816870e-06
-3.5669744000e+00    3.2761294061e-06
-3.5592628000e+00    3.2874353348e-06
-3.5515512000e+00    3.2987998751e-06
-3.5438396000e+00    3.3102234329e-06
-3.5361280000e+00    3.3217064175e-06
-3.5284164000e+00    3.3332492415e-06
-3.5207048000e+00    3.3448523215e-06
-3.5129932000e+00    3.3565160774e-06
-3.5052816000e+00    3.3682409329e-06
-3.4975700000e+00    3.3800273155e-06
-3.4898584000e+00    3.3918756562e-06
-3.4821468000e+00    3.4037863900e-06
-3.4744352000e+00    3.4157599555e-06
-3.4667236000e+00    3.4277967955e-06
-3.4590120000e+00    3.4398973564e-06
-3.4513004000e+00    3.4520620887e-06
-3.4435888000e+00    3.4642914467e-06
-3.4358772000e+00    3.4765858890e-06
-3.4281656000e+00    3.4889458781e-06
-3.4204540000e+00    3.5013718806e-06
-3.4127424000e+00    3.5138643674e-06
-3.4050308000e+00    3.5264238135e-06
-3.3973192000e+00    3.5390506980e-06
-3.3896076000e+00    3.5517455046e-06
-3.3818960000e+00    3.5645087212e-06
-3.3741844000e+00    3.5773408401e-06
-3.3664728000e+00    3.5902423580e-06
-3.3587612000e+00    3.6032137760e-06
-3.3510496000e+00    3.6162555999e-06
-3.3433380000e+00    3.6293683400e-06
-3.3356264000e+00    3.6425525114e-06
-3.3279148000e+00    3.6558086335e-06
-3.3202032000e+00    3.6691372308e-06
-3.3124916000e+00    3.6825388323e-06
-3.3047800000e+00    3.6960139722e-06
-3.2970684000e+00    3.7095631891e-06
-3.2893568000e+00    3.7231870271e-06
-3.2816452000e+00    3.7368860348e-06
-3.2739336000e+00    3.7506607661e-06
-3.2662220000e+00    3.7645117801e-06
-3.2585104000e+00    3.7784396407e-06
-3.2507988000e+00    3.7924449175e-06
-3.2430872000e+00    3.8065281850e-06
-3.2353756000e+00    3.8206900233e-06
-3.2276640000e+00    3.8349310177e-06
-3.2199524000e+00    3.8492517590e-06
-3.2122408000e+00    3.8636528436e-06
-3.2045292000e+00    3.8781348735e-06
-3.1968176000e+00    3.8926984563e-06
-3.1891060000e+00    3.9073442052e-06
-3.1813944000e+00    3.9220727394e-06
-3.1736828000e+00    3.9368846838e-06
-3.1659712000e+00    3.9517806691e-06
-3.1582596000e+00    3.9667613323e-06
-3.1505480000e+00    3.9818273160e-06
-3.1428364000e+00    3.9969792694e-06
-3.1351248000e+00    4.0122178474e-06
-3.1274132000e+00    4.0275437116e-06
-3.1197016000e+00    4.0429575295e-06
-3.1119900000e+00    4.0584599753e-06
-3.1042784000e+00    4.0740517296e-06
-3.0965668000e+00    4.0897334794e-06
-3.0888552000e+00    4.1055059185e-06
-3.0811436000e+00    4.1213697473e-06
-3.0734320000e+00    4.1373256730e-06
-3.0657204000e+00    4.1533744097e-06
-3.0580088000e+00    4.1695166783e-06
-3.0502972000e+00    4.1857532068e-06
-3.0425856000e+00    4.2020847303e-06
-3.0348740000e+00    4.2185119911e-06
-3.0271624000e+00    4.2350357387e-06
-3.0194508000e+00    4.2516567299e-06
-3.0117392000e+00    4.2683757291e-06
-3.0040276000e+00    4.2851935081e-06
-2.9963160000e+00    4.3021108463e-06
-2.9886044000e+00    4.3191285309e-06
-2.9808928000e+00    4.3362473568e-06
-2.9731812000e+00    4.3534681268e-06
-2.9654696000e+00    4.3707916517e-06
-2.9577580000e+00    4.3882187504e-06
-2.9500464000e+00    4.4057502498e-06
-2.9423348000e+00    4.4233869854e-06
-2.9346232000e+00    4.4411298008e-06
-2.9269116000e+00    4.4589795481e-06
-2.9192000000e+00    4.4769370880e-06
-2.9114884000e+00    4.4950032900e-06
-2.9037768000e+00    4.5131790321e-06
-2.8960652000e+00    4.5314652015e-06
-2.8883536000e+00    4.5498626942e-06
-2.8806420000e+00    4.5683724154e-06
-2.8729304000e+00    4.5869952794e-06
-2.8652188000e+00    4.6057322099e-06
-2.8575072000e+00    4.6245841400e-06
-2.8497956000e+00    4.6435520125e-06
-2.8420840000e+00    4.6626367797e-06
-2.8343724000e+00    4.6818394039e-06
-2.8266608000e+00    4.7011608569e-06
-2.8189492000e+00    4.7206021211e-06
-2.8112376000e+00    4.7401641887e-06
-2.8035260000e+00    4.7598480622e-06
-2.7958144000e+00    4.7796547547e-06
-2.7881028000e+00    4.7995852897e-06
-2.7803912000e+00    4.8196407014e-06
-2.7726796000e+00    4.8398220349e-06
-2.7649680000e+00    4.8601303461e-06
-2.7572564000e+00    4.8805667022e-06
-2.7495448000e+00    4.9011321815e-06
-2.7418332000e+00    4.9218278736e-06
-2.7341216000e+00    4.9426548797e-06
-2.7264100000e+00    4.9636143127e-06
-2.7186984000e+00    4.9847072973e-06
-2.7109868000e+00    5.0059349701e-06
-2.7032752000e+00    5.0272984797e-06
-2.6955636000e+00    5.0487989873e-06
-2.6878520000e+00    5.0704376663e-06
-2.6801404000e+00    5.0922157027e-06
-2.6724288000e+00    5.1141342952e-06
-2.6647172000e+00    5.1361946555e-06
-2.6570056000e+00    5.1583980085e-06
-2.6492940000e+00    5.1807455921e-06
-2.6415824000e+00    5.2032386577e-06
-2.6338708000e+00    5.2258784703e-06
-2.6261592000e+00    5.2486663089e-06
-2.6184476000e+00    5.2716034660e-06
-2.6107360000e+00    5.2947034597e-06
-2.6030244000e+00    5.3179432269e-06
-2.5953128000e+00    5.3413362768e-06
-2.5876012000e+00    5.3648839598e-06
-2.5798896000e+00    5.3885876413e-06
-2.5721780000e+00    5.4124487016e-06
-2.5644664000e+00    5.4364685365e-06
-2.5567548000e+00    5.4606485573e-06
-2.5490432000e+00    5.4849901908e-06
-2.5413316000e+00    5.5094948800e-06
-2.5336200000e+00    5.5341640838e-06
-2.5259084000e+00    5.5589992775e-06
-2.5181968000e+00    5.5840019531e-06
-2.5104852000e+00    5.6091736193e-06
-2.5027736000e+00    5.6345158018e-06
-2.4950620000e+00    5.6600300435e-06
-2.4873504000e+00    5.6857179049e-06
-2.4796388000e+00    5.7115809643e-06
-2.4719272000e+00    5.7376208176e-06
-2.4642156000e+00    5.7638390793e-06
-2.4565040000e+00    5.7902373822e-06
-2.4487924000e+00    5.8168173778e-06
-2.4410808000e+00    5.8435807366e-06
-2.4333692000e+00    5.8705291484e-06
-2.4256576000e+00    5.8976643223e-06
-2.4179460000e+00    5.9249879874e-06
-2.4102344000e+00    5.9525018928e-06
-2.4025228000e+00    5.9802078077e-06
-2.3948112000e+00    6.0081075223e-06
-2.3870996000e+00    6.0362028473e-06
-2.3793880000e+00    6.0644956149e-06
-2.3716764000e+00    6.0929876786e-06
-2.3639648000e+00    6.1216809137e-06
-2.3562532000e+00    6.1505772179e-06
-2.3485416000e+00    6.1796785108e-06
-2.3408300000e+00    6.2089867351e-06
-2.3331184000e+00    6.2385038565e-06
-2.3254068000e+00    6.2682318640e-06
-2.3176952000e+00    6.2981727703e-06
-2.3099836000e+00    6.3283286124e-06
-2.3022720000e+00    6.3587026774e-06
-2.2945604000e+00    6.3892946031e-06
-2.2868488000e+00    6.4201077228e-06
-2.2791372000e+00    6.4511441731e-06
-2.2714256000e+00    6.4824061165e-06
-2.2637140000e+00    6.5138957415e-06
-2.2560024000e+00    6.5456152635e-06
-2.2482908000e+00    6.5775669246e-06
-2.2405792000e+00    6.6097529946e-06
-2.2328676000e+00    6.6421757708e-06
-2.2251560000e+00    6.6748375788e-06
-2.2174444000e+00    6.7077407730e-06
-2.2097328000e+00    6.7408877366e-06
-2.2020212000e+00    6.7742808824e-06
-2.1943096000e+00    6.8079226530e-06
-2.1865980000e+00    6.8418155215e-06
-2.1788864000e+00    6.8759619917e-06
-2.1711748000e+00    6.9103645987e-06
-2.1634632000e+00    6.9450259094e-06
-2.1557516000e+00    6.9799485229e-06
-2.1480400000e+00    7.0153884997e-06
-2.1403284000e+00    7.0508424310e-06
-2.1326168000e+00    7.0865656641e-06
-2.1249052000e+00    7.1225609319e-06
-2.1171936000e+00    7.1589839878e-06
-2.1094820000e+00    7.1955321361e-06
-2.1017704000e+00    7.2336884907e-06
-2.0940588000e+00    7.2708045110e-06
-2.0863472000e+00    7.3082067838e-06
-2.0786356000e+00    7.3458982586e-06
-2.0709240000e+00    7.3838819231e-06
-2.0632124000e+00    7.4221608037e-06
-2.0555008000e+00    7.4623626249e-06
-2.0477892000e+00    7.5012461982e-06
-2.0400776000e+00    7.5404343280e-06
-2.0323660000e+00    7.5799302017e-06
-2.0246544000e+00    7.6197370482e-06
-2.0169428000e+00    7.6598581391e-06
-2.0092312000e+00    7.7060156437e-06
-2.0015196000e+00    7.7467929081e-06
-1.9938080000e+00    7.7879528435e-06
-1.9860964000e+00    7.8293825418e-06
-1.9783848000e+00    7.8711435866e-06
-1.9706732000e+00    7.9132395191e-06
-1.9629616000e+00    7.9556739279e-06
-1.9552500000e+00    7.9984504497e-06
-1.9475384000e+00    8.0415727704e-06
-1.9398268000e+00    8.0850446254e-06
-1.9321152000e+00    8.1288698007e-06
-1.9244036000e+00    8.1730521337e-06
-1.9166920000e+00    8.2175955140e-06
-1.9089804000e+00    8.3121095251e-06
-1.9012688000e+00    8.3575403503e-06
-1.8935572000e+00    8.4033449268e-06
-1.8858456000e+00    8.4502534279e-06
-1.8781340000e+00    8.4968201444e-06
-1.8704224000e+00    8.5437731283e-06
-1.8627108000e+00    8.5911166641e-06
-1.8549992000e+00    8.6388550960e-06
-1.8472876000e+00    8.6869928285e-06
-1.8395760000e+00    8.7388794248e-06
-1.8318644000e+00    8.7892065128e-06
-1.8241528000e+00    8.8388266727e-06
-1.8164412000e+00    8.8886223359e-06
-1.8087296000e+00    8.9388403395e-06
-1.8010180000e+00    8.9894854741e-06
-1.7933064000e+00    9.0857366688e-06
-1.7855948000e+00    9.1373903779e-06
-1.7778832000e+00    9.1894866514e-06
-1.7701716000e+00    9.2420305631e-06
-1.7624600000e+00    9.2950272600e-06
-1.7547484000e+00    9.3484819632e-06
-1.7470368000e+00    9.4023999693e-06
-1.7393252000e+00    9.4567866517e-06
-1.7316136000e+00    9.5116914020e-06
-1.7239020000e+00    9.5670320070e-06
-1.7161904000e+00    9.6228578834e-06
-1.7084788000e+00    9.6801324574e-06
-1.7007672000e+00    9.7369490045e-06
-1.6930556000e+00    9.7942681725e-06
-1.6853440000e+00    9.8520959114e-06
-1.6776324000e+00    9.9104382596e-06
-1.6699208000e+00    9.9693013457e-06
-1.6622092000e+00    1.0028691389e-05
-1.6544976000e+00    1.0088614703e-05
-1.6467860000e+00    1.0149077696e-05
-1.6390744000e+00    1.0210086872e-05
-1.6313628000e+00    1.0274783323e-05
-1.6236512000e+00    1.0336914467e-05
-1.6159396000e+00    1.0399611948e-05
-1.6082280000e+00    1.0462882676e-05
-1.6005164000e+00    1.0526733665e-05
-1.5928048000e+00    1.0591172037e-05
-1.5850932000e+00    1.0656205023e-05
-1.5773816000e+00    1.0721839967e-05
-1.5696700000e+00    1.0788084325e-05
-1.5619584000e+00    1.0854945671e-05
-1.5542468000e+00    1.0922431695e-05
-1.5465352000e+00    1.0990550208e-05
-1.5388236000e+00    1.1059309143e-05
-1.5311120000e+00    1.1128716559e-05
-1.5234004000e+00    1.1198780640e-05
-1.5156888000e+00    1.1269509703e-05
-1.5079772000e+00    1.1341136378e-05
-1.5002656000e+00    1.1413221570e-05
-1.4925540000e+00    1.1485997493e-05
-1.4848424000e+00    1.1559473005e-05
-1.4771308000e+00    1.1635441082e-05
-1.4694192000e+00    1.1711014101e-05
-1.4617076000e+00    1.1786650567e-05
-1.4539960000e+00    1.1863023543e-05
-1.4462844000e+00    1.1940142628e-05
-1.4385728000e+00    1.2018017578e-05
-1.4308612000e+00    1.2096658309e-05
-1.4231496000e+00    1.2176074900e-05
-1.4154380000e+00    1.2256277595e-05
-1.4077264000e+00    1.2356826234e-05
-1.4000148000e+00    1.2438693056e-05
-1.3923032000e+00    1.2521378031e-05
-1.3845916000e+00    1.2604892106e-05
-1.3768800000e+00    1.2733740148e-05
-1.3691684000e+00    1.2819083499e-05
-1.3614568000e+00    1.2905290543e-05
-1.3537452000e+00    1.2992372989e-05
-1.3460336000e+00    1.3083183495e-05
-1.3383220000e+00    1.3172061449e-05
-1.3306104000e+00    1.3265795953e-05
-1.3228988000e+00    1.3359342224e-05
-1.3151872000e+00    1.3451014276e-05
-1.3074756000e+00    1.3543636441e-05
-1.2997640000e+00    1.3637221908e-05
-1.2920524000e+00    1.3731784099e-05
